time,k116,k1,kd1,k1c,kd1c,kd1d,kd6,kd122,k122,k119,erk_pp_meas,akt_pp_meas
0,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,0,0
90,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,1.11E-03,2.58E-04
180,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,1.43E-01,2.87E-03
270,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,3.08E+00,1.31E-02
360,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,2.83E+01,3.91E-02
450,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,1.55E+02,9.22E-02
540,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.98E+02,1.87E-01
630,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,1.77E+03,3.42E-01
720,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,4.26E+03,5.83E-01
810,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,8.59E+03,9.48E-01
900,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,1.50E+04,1.48E+00
990,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,2.33E+04,2.26E+00
1080,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,3.28E+04,3.35E+00
1170,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,4.22E+04,4.84E+00
1260,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.03E+04,6.83E+00
1350,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.59E+04,9.41E+00
1440,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.87E+04,1.26E+01
1530,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.86E+04,1.65E+01
1620,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.60E+04,2.11E+01
1710,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,5.18E+04,2.65E+01
1800,0,0,0.033,800,1,0.1,0.00005,1,1.87E-08,0,4.64E+04,3.25E+01
1890,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,4.07E+04,4.14E+01
1980,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,3.50E+04,5.83E+01
2070,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,2.93E+04,9.44E+01
2160,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,2.39E+04,1.74E+02
2250,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,1.92E+04,3.59E+02
2340,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,1.52E+04,8.57E+02
2430,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,1.19E+04,3.08E+03
2520,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,9.24E+03,1.65E+04
2610,0,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,7.10E+03,4.22E+04
2700,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,6.00E+03,7.43E+04
2790,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.45E+03,1.07E+05
2880,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.19E+03,1.38E+05
2970,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.08E+03,1.64E+05
3060,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.03E+03,1.86E+05
3150,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.02E+03,2.03E+05
3240,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.02E+03,2.18E+05
3330,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.02E+03,2.30E+05
3420,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.03E+03,2.40E+05
3510,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.04E+03,2.48E+05
3690,0.0150356,10000000,0.0033,0,0,0,0.00005,1,1.87E-08,10000000,5.04E+03,2.60E+05
